id;titulo;autor;totalExemplares;exemplaresDisponiveis
400;PLUTO OU UM DEUS CHAMADO DINHEIRO;ARISTÓFANES e FLORA, Anna (adap.);1;1
401;SANTO E A PORCA, O;SUASSUNA, Ariano;1;1
402;TÍTERES DE PORRETE E OUTRAS PEÇAS, OS;GARCÍA LORCA, Federico;1;1
403;BANHO DA TERRA, O;AZZI, Nilza;7;7
404;ESCOLA PARA TODOS;MAZZARO, José Luiz;1;1
405;PRINCESA ARABELA, MIMADA QUE SÓ ELA!;FREEMAN, Mylo;1;1
406;BRANCA DE NEVE E ROSA VERMELHA E OUTRAS HISTÓRIAS;CARRASCO, Walcyr (adap.);1;1
407;PATINHO FEIO E OUTRAS HISTÓRIAS;CARRASCO, Walcyr (adap.);1;1
408;ESCOLA PARA TODOS;MAZZARO, José Luiz;1;1
409;FAZENDA ESPERA FELIZ;MAZZARO, José Luiz;1;1
410;ÁRVORE DE NATAL MAIS BONITA DO MUNDO;MOREIRA, José Ricardo;1;1
411;PARECE, MAS NĂO É!;MAZZARO, José Luiz;1;1
412;MARIA DO PRATO;SILVA, Célia Cris;1;1
413;OLHOS DE TONINHO, OS;SILVEIRA, Célia Cris;1;1
414;MENINO DO DEDO VERDE, O;DRUON, Maurice;1;1
415;AVENTURAS DE PINÓQUIO, AS;COLLODI, Carlo;1;1
416;LIMERIQUES DAS CAUSAS E EFEITOS;BELINKY, Tatiana e SANDOVAL, Andrés;1;1
417;MALUQUINHO POR ARTE: histórias em que a  turma pinta e borda;ZIRALDO;1;1
418;VIAGEM AO CÉU;LOBATO, Monteiro;1;1
419;PICAPAU AMARELO, O;LOBATO, Monteiro;1;1
420;MENINO QUE VENDIA PALAVRAS, O;BRANDĂO, Ignácio de Loyola;1;1
421;ENEIDA: AS AVENTURAS DE ENEIAS;VIRGÍLIO e STEFANI, Stefania (adap.0;1;1
422;VIAGEM AO CENTRO DA TERRA;VERNE, Júlio;1;1
423;VINTE MIL LÉGUAS SUBMARINAS;VERNE, Júlio;1;1
424;MISERÁVEIS, OS;HUGO, Victor;1;1
425;PETER PAN;BARRIE, J. M.;1;1
426;VIAGENS DE GULLIVER;SWIFT, Jonathan;1;1
427;CORDA BAMBA;BOJUNGA, Lygia;1;1
428;CASA DA MADRINHA, A;BOJUNGA, Lygia;1;1
429;MELHORES POEMAS;CORALINA, Cora;1;1
430;QUINZE, O;QUEIROZ, Rachel de;1;1
